Season,Age,Team,Lg,Pos,G,MP, ,FG_player Shooting %,2P_player Shooting %,3P_player Shooting %,eFG_player Shooting %,FT_player Shooting %,TS_player Shooting %,FTr_player Shooting %,3PAr_player Shooting %, ,FG_League Shooting %,2P_League Shooting %,3P_League Shooting %,eFG_League Shooting %,FT_League Shooting %,TS_League Shooting %,FTr_League Shooting %,3PAr_League Shooting %, ,FG+_League-Adjusted,2P+_League-Adjusted,3P+_League-Adjusted,eFG+_League-Adjusted,FT+_League-Adjusted,TS+_League-Adjusted,FTr+_League-Adjusted,3PAr+_League-Adjusted, ,FG Add,TS Add,Player_link
2015-16,27,NOP,NBA,C,59,861,,.476,.478,.000,.476,.839,.514,.197,.003,,.452,.491,.354,.502,.757,.541,.276,.285,,105,97,,95,111,95,71,1,,-16.6,-18.5,https://www.basketball-reference.com/players/a/ajincal01.html
2016-17,28,NOP,NBA,C,39,584,,.500,.511,.000,.500,.725,.529,.225,.022,,.457,.503,.357,.514,.772,.552,.271,.316,,109,102,,97,94,96,83,7,,-4.9,-9.1,https://www.basketball-reference.com/players/a/ajincal01.html
2012-13,26,DAL,NBA,PG,3,9,,.500,.500,.500,.625,,.625,.000,.500,,.453,.483,.359,.496,.753,.535,.271,.243,,110,104,139,126,,117,,205,,1.0,.7,https://www.basketball-reference.com/players/a/akognjo01.html
2018-19,25,DEN,NBA,SG,7,22,,.300,.500,.000,.300,.500,.322,.200,.400,,.461,.519,.355,.524,.766,.560,.259,.359,,65,96,,57,65,57,77,111,,-4.5,-5.2,https://www.basketball-reference.com/players/a/akoonde01.html
2010-11,22,TOR,NBA,C,12,59,,.200,.200,,.200,.000,.189,.133,.000,,.459,.487,.358,.498,.763,.541,.300,.222,,44,41,,40,,35,44,,,-9.0,-11.2,https://www.basketball-reference.com/players/a/alabiso01.html
2011-12,23,TOR,NBA,C,14,122,,.361,.361,,.361,.875,.417,.222,.000,,.448,.477,.349,.487,.752,.527,.276,.226,,81,76,,74,116,79,81,,,-9.1,-8.7,https://www.basketball-reference.com/players/a/alabiso01.html
2014-15,23,PHI,NBA,PF,41,540,,.513,.548,.000,.513,.481,.517,.346,.064,,.449,.485,.350,.496,.750,.534,.273,.268,,114,113,,103,64,97,127,24,,2.6,-3.0,https://www.basketball-reference.com/players/a/aldemfu01.html
2010-11,22,OKC,NBA,C,18,142,,.533,.533,,.533,.500,.537,.267,.000,,.459,.487,.358,.498,.763,.541,.300,.222,,116,109,,107,65,99,89,,,1.0,-0.1,https://www.basketball-reference.com/players/a/aldrico01.html
2011-12,23,OKC,NBA,C,26,173,,.524,.524,,.524,.929,.592,.333,.000,,.448,.477,.349,.487,.752,.527,.276,.226,,117,110,,107,123,112,121,,,3.1,6.2,https://www.basketball-reference.com/players/a/aldrico01.html
2012-13,24,TOT,NBA,C,45,388,,.550,.550,,.550,.600,.563,.250,.000,,.453,.483,.359,.496,.753,.535,.271,.243,,121,114,,111,80,105,92,,,8.6,5.1,https://www.basketball-reference.com/players/a/aldrico01.html
2012-13,24,HOU,NBA,C,30,213,,.535,.535,,.535,.444,.532,.209,.000,,.453,.483,.359,.496,.753,.535,.271,.243,,118,111,,108,59,100,77,,,3.3,-0.2,https://www.basketball-reference.com/players/a/aldrico01.html
2012-13,24,SAC,NBA,C,15,175,,.568,.568,,.568,.727,.598,.297,.000,,.453,.483,.359,.496,.753,.535,.271,.243,,125,118,,114,97,112,110,,,5.3,5.3,https://www.basketball-reference.com/players/a/aldrico01.html
2013-14,25,NYK,NBA,C,46,330,,.541,.541,,.541,.867,.620,.492,.000,,.454,.488,.360,.501,.756,.541,.284,.260,,119,111,,108,115,115,173,,,4.9,11.7,https://www.basketball-reference.com/players/a/aldrico01.html
2014-15,26,NYK,NBA,C,61,976,,.478,.478,,.478,.781,.513,.213,.000,,.449,.485,.350,.496,.750,.534,.273,.268,,107,99,,96,104,96,78,,,-10.5,-13.7,https://www.basketball-reference.com/players/a/aldrico01.html
2015-16,27,LAC,NBA,C,60,800,,.596,.596,,.596,.714,.626,.373,.000,,.452,.491,.354,.502,.757,.541,.276,.285,,132,121,,119,94,116,135,,,41.9,44.4,https://www.basketball-reference.com/players/a/aldrico01.html
2016-17,28,MIN,NBA,C,62,531,,.523,.523,,.523,.682,.549,.256,.000,,.457,.503,.357,.514,.772,.552,.271,.316,,114,104,,102,88,99,95,,,1.6,-0.7,https://www.basketball-reference.com/players/a/aldrico01.html
2017-18,29,MIN,NBA,C,21,49,,.333,.333,,.333,.333,.340,.400,.000,,.460,.510,.362,.521,.767,.556,.252,.337,,72,65,,64,43,61,159,,,-5.6,-7.6,https://www.basketball-reference.com/players/a/aldrico01.html
2006-07,21,POR,NBA,C,63,1392,,.503,.505,.000,.503,.722,.533,.240,.004,,.458,.485,.358,.496,.752,.541,.327,.212,,110,104,,101,96,99,73,2,,6.5,-8.5,https://www.basketball-reference.com/players/a/aldrila01.html
2007-08,22,POR,NBA,PF,76,2649,,.484,.486,.143,.484,.762,.523,.257,.006,,.457,.484,.362,.497,.755,.540,.306,.222,,106,100,39,97,101,97,84,3,,-31.0,-45.0,https://www.basketball-reference.com/players/a/aldrila01.html
2008-09,23,POR,NBA,PF,81,3004,,.483,.489,.250,.486,.781,.529,.269,.022,,.459,.485,.367,.500,.771,.544,.306,.224,,105,101,68,97,101,97,88,10,,-33.5,-43.3,https://www.basketball-reference.com/players/a/aldrila01.html
