Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Player_link
2014-15,29,TOT,NBA,SG,78,2502,10.7,.533,.377,.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19.0,,1.6,1.0,2.6,.050,,-1.4,-1.1,-2.5,-0.3,https://www.basketball-reference.com/players/a/afflaar01.html
2014-15,29,DEN,NBA,SG,53,1750,11.7,.533,.370,.230,1.3,10.2,5.6,9.3,0.9,0.2,10.3,19.9,,1.4,0.4,1.8,.050,,-0.7,-1.2,-1.9,0.1,https://www.basketball-reference.com/players/a/afflaar01.html
2014-15,29,POR,NBA,SG,25,752,8.2,.533,.396,.207,0.9,8.5,4.8,5.5,0.6,0.2,11.8,16.7,,0.2,0.5,0.8,.049,,-3.0,-0.8,-3.8,-0.4,https://www.basketball-reference.com/players/a/afflaar01.html
2015-16,30,NYK,NBA,SG,71,2371,10.9,.531,.298,.164,1.1,11.0,6.1,9.9,0.5,0.3,8.7,17.9,,1.8,0.9,2.7,.055,,-1.3,-1.6,-2.9,-0.5,https://www.basketball-reference.com/players/a/afflaar01.html
2016-17,31,SAC,NBA,SG,61,1580,8.9,.559,.360,.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,,1.2,0.2,1.4,.043,,-2.1,-1.5,-3.6,-0.7,https://www.basketball-reference.com/players/a/afflaar01.html
2017-18,32,ORL,NBA,SG,53,682,5.8,.516,.432,.160,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,,-0.1,0.2,0.1,.009,,-3.8,-1.5,-5.4,-0.6,https://www.basketball-reference.com/players/a/afflaar01.html
2006-07,22,DAL,NBA,SG,32,214,2.9,.408,.214,.471,0.6,11.0,5.9,5.0,1.0,1.1,15.1,21.7,,-0.5,0.2,-0.3,-0.060,,-7.4,-1.3,-8.7,-0.4,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,TOT,NBA,SG,26,165,1.8,.363,.292,.185,2.8,6.3,4.6,8.0,0.0,0.4,7.9,21.3,,-0.4,0.0,-0.4,-0.114,,-6.8,-4.2,-11.1,-0.4,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,DAL,NBA,SG,12,77,-4.4,.253,.296,.222,1.6,4.4,3.0,7.4,0.0,1.0,9.2,19.8,,-0.3,0.0,-0.3,-0.181,,-10.1,-3.6,-13.7,-0.2,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,NJN,NBA,SG,14,88,7.1,.443,.289,.158,3.9,7.9,5.9,8.4,0.0,0.0,6.9,22.7,,-0.1,0.0,-0.1,-0.056,,-4.0,-4.8,-8.7,-0.1,https://www.basketball-reference.com/players/a/agerma01.html
2008-09,24,NJN,NBA,SG,20,97,2.2,.365,.140,.186,3.6,8.7,6.1,5.3,0.6,1.7,7.9,24.4,,-0.3,0.0,-0.3,-0.133,,-7.9,-2.8,-10.7,-0.2,https://www.basketball-reference.com/players/a/agerma01.html
2010-11,26,MIN,NBA,SG,4,29,10.1,.682,.364,.000,0.0,7.9,3.8,6.0,1.7,0.0,26.7,22.0,,0.0,0.0,0.0,-0.015,,-0.9,0.2,-0.7,0.0,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,MIA,NBA,PG,12,177,9.0,.495,.596,.544,0.7,12.4,6.4,17.2,1.8,0.0,18.5,23.2,,-0.1,0.1,0.0,-0.006,,-3.5,-1.3,-4.8,-0.1,https://www.basketball-reference.com/players/a/ahearbl01.html
2008-09,24,SAS,NBA,PG,3,19,12.9,.581,.667,.333,0.0,6.2,3.1,16.0,2.9,0.0,12.7,20.1,,0.0,0.0,0.1,.149,,-2.2,1.4,-0.9,0.0,https://www.basketball-reference.com/players/a/ahearbl01.html
2011-12,27,UTA,NBA,PG,4,30,-7.3,.357,.643,.000,0.0,7.7,3.8,5.2,0.0,0.0,26.3,28.4,,-0.2,0.0,-0.2,-0.315,,-12.7,-6.8,-19.5,-0.1,https://www.basketball-reference.com/players/a/ahearbl01.html
2008-09,20,CHA,NBA,PF,31,182,7.0,.430,.029,.406,6.2,14.2,10.2,2.8,2.1,2.7,12.9,24.2,,-0.3,0.3,-0.1,-0.018,,-7.6,0.1,-7.5,-0.3,https://www.basketball-reference.com/players/a/ajincal01.html
2009-10,21,CHA,NBA,C,6,30,6.3,.479,.000,.100,4.1,11.8,8.0,0.0,1.8,2.7,16.1,19.3,,-0.1,0.0,0.0,-0.013,,-6.3,1.0,-5.3,0.0,https://www.basketball-reference.com/players/a/ajincal01.html
2010-11,22,TOT,NBA,C,34,340,12.2,.507,.256,.135,5.9,21.5,13.6,4.8,1.7,4.2,11.3,21.1,,0.0,0.4,0.4,.052,,-3.8,0.0,-3.8,-0.2,https://www.basketball-reference.com/players/a/ajincal01.html
