Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist., ,2P_% of FGA by Distance,0-3_% of FGA by Distance,3-10_% of FGA by Distance,10-16_% of FGA by Distance,16-3P_% of FGA by Distance,3P_% of FGA by Distance, ,2P_FG% by Distance,0-3_FG% by Distance,3-10_FG% by Distance,10-16_FG% by Distance,16-3P_FG% by Distance,3P_FG% by Distance, ,2P_% of FG Ast'd,3P_% of FG Ast'd, ,%FGA_Dunks,#_Dunks, ,%3PA_Corner 3s,3P%_Corner 3s, ,Att._Heaves,#_Heaves,Player_link
2009-10,21,CHA,NBA,C,6,30,.500,8.4,,1.000,.400,.200,.100,.300,.000,,.500,1.000,.000,.000,.333,,,.800,,,.100,1,,,,,0,0,https://www.basketball-reference.com/players/a/ajincal01.html
2010-11,22,TOT,NBA,C,34,340,.444,15.5,,.744,.233,.068,.068,.376,.256,,.475,.677,.556,.222,.380,.353,,.660,1.000,,.090,9,,.059,1.000,,0,0,https://www.basketball-reference.com/players/a/ajincal01.html
2010-11,22,DAL,NBA,C,10,75,.375,14.8,,.781,.125,.125,.219,.313,.219,,.360,.500,.500,.286,.300,.429,,.556,1.000,,.031,0,,.286,1.000,,0,0,https://www.basketball-reference.com/players/a/ajincal01.html
2010-11,22,TOR,NBA,C,24,265,.465,15.7,,.733,.267,.050,.020,.396,.267,,.514,.704,.600,.000,.400,.333,,.684,1.000,,.109,9,,.000,,,0,0,https://www.basketball-reference.com/players/a/ajincal01.html
2013-14,25,NOP,NBA,C,56,951,.546,6.8,,.996,.494,.197,.181,.129,.004,,.548,.642,.388,.467,.531,.000,,.706,,,.213,46,,.000,,,0,0,https://www.basketball-reference.com/players/a/ajincal01.html
2014-15,26,NOP,NBA,C,68,957,.550,7.2,,1.000,.340,.353,.198,.106,.000,,.550,.616,.552,.508,.429,,,.613,,,.088,28,,,,,0,0,https://www.basketball-reference.com/players/a/ajincal01.html
2015-16,27,NOP,NBA,C,59,861,.476,9.4,,.997,.283,.257,.108,.346,.003,,.478,.674,.346,.324,.468,.000,,.767,,,.098,27,,.000,,,0,0,https://www.basketball-reference.com/players/a/ajincal01.html
2016-17,28,NOP,NBA,C,39,584,.500,9.0,,.978,.348,.253,.107,.270,.022,,.511,.710,.378,.579,.354,.000,,.820,,,.129,20,,.000,,,0,0,https://www.basketball-reference.com/players/a/ajincal01.html
2012-13,26,DAL,NBA,PG,3,9,.500,24.0,,.500,.000,.000,.000,.500,.500,,.500,,,,.500,.500,,.000,1.000,,.000,0,,.000,,,0,0,https://www.basketball-reference.com/players/a/akognjo01.html
2018-19,25,DEN,NBA,SG,7,22,.300,12.9,,.600,.500,.000,.000,.100,.400,,.500,.600,,,.000,.000,,.667,,,.100,1,,.250,.000,,0,0,https://www.basketball-reference.com/players/a/akoonde01.html
2010-11,22,TOR,NBA,C,12,59,.200,9.0,,1.000,.133,.400,.333,.133,.000,,.200,1.000,.167,.000,.000,,,.000,,,.133,2,,,,,0,0,https://www.basketball-reference.com/players/a/alabiso01.html
2011-12,23,TOR,NBA,C,14,122,.361,6.8,,1.000,.528,.111,.278,.083,.000,,.361,.579,.000,.200,.000,,,.462,,,.222,6,,,,,0,0,https://www.basketball-reference.com/players/a/alabiso01.html
