Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Player_link
2015-16,25,POR,NBA,SF,11,372,15.5,.572,.547,.227,6.2,20.4,13.1,8.7,1.1,2.1,13.0,18.6,,0.5,0.3,0.8,.100,,2.1,0.5,2.7,0.4,https://www.basketball-reference.com/players/a/aminual01.html
2016-17,26,POR,NBA,PF,4,113,12.4,.574,.459,.297,4.4,21.2,12.2,6.0,1.2,3.0,17.7,18.7,,0.0,0.1,0.0,.016,,-0.2,0.1,-0.1,0.1,https://www.basketball-reference.com/players/a/aminual01.html
2017-18,27,POR,NBA,PF,4,131,21.3,.652,.577,.038,9.4,22.1,15.2,5.8,1.5,1.2,10.2,19.2,,0.4,0.0,0.4,.152,,4.4,0.3,4.7,0.2,https://www.basketball-reference.com/players/a/aminual01.html
2018-19,28,POR,NBA,PF,16,399,11.0,.473,.468,.330,7.7,18.9,13.3,7.5,1.1,2.1,11.4,15.3,,0.1,0.3,0.4,.052,,-0.8,-0.1,-0.9,0.1,https://www.basketball-reference.com/players/a/aminual01.html
2007-08,25,PHI,NBA,PF,2,10,33.9,.512,.000,.500,60.3,26.1,43.8,0.0,0.0,0.0,0.0,22.8,,0.1,0.0,0.1,.319,,9.8,-6.3,3.5,0.0,https://www.basketball-reference.com/players/a/amundlo01.html
2009-10,27,PHO,NBA,PF,16,194,13.1,.519,.000,.583,19.0,15.9,17.4,0.7,1.6,2.8,11.7,12.1,,0.3,0.2,0.5,.112,,-1.2,-1.1,-2.3,0.0,https://www.basketball-reference.com/players/a/amundlo01.html
2011-12,29,IND,NBA,PF,11,94,12.3,.527,.000,.261,7.5,20.8,14.2,3.7,1.2,4.4,13.5,14.6,,0.1,0.2,0.2,.117,,-2.2,2.4,0.2,0.1,https://www.basketball-reference.com/players/a/amundlo01.html
2013-14,31,BRK,NBA,SF,12,261,9.3,.508,.500,.290,4.6,11.2,7.7,9.1,2.1,0.0,12.5,15.0,,0.1,0.1,0.2,.044,,-2.4,0.6,-1.8,0.0,https://www.basketball-reference.com/players/a/anderal01.html
2014-15,32,BRK,NBA,SG,6,142,17.7,.734,.390,.220,1.5,14.5,8.0,8.7,1.4,0.6,15.1,17.1,,0.3,0.1,0.4,.145,,2.9,1.7,4.6,0.2,https://www.basketball-reference.com/players/a/anderal01.html
2011-12,22,SAS,NBA,SG,8,31,16.3,.557,.444,.222,0.0,18.1,9.4,14.6,1.7,0.0,0.0,14.8,,0.1,0.0,0.1,.168,,2.3,2.4,4.7,0.1,https://www.basketball-reference.com/players/a/anderja01.html
2012-13,23,HOU,NBA,SG,2,18,-1.4,.200,.600,.000,6.1,18.9,12.4,0.0,0.0,0.0,0.0,12.2,,0.0,0.0,-0.1,-0.140,,-7.5,-3.2,-10.7,0.0,https://www.basketball-reference.com/players/a/anderja01.html
2015-16,22,DAL,NBA,SF,5,95,19.2,.544,.351,.378,10.6,14.1,12.3,13.2,2.2,2.8,10.4,23.5,,0.2,0.0,0.1,.058,,2.0,0.7,2.7,0.1,https://www.basketball-reference.com/players/a/anderju01.html
2017-18,24,PHI,NBA,SF,7,33,2.5,.500,.875,.000,3.2,26.3,14.6,0.0,1.5,0.0,20.0,12.7,,0.0,0.0,0.0,.014,,-6.9,-0.6,-7.5,0.0,https://www.basketball-reference.com/players/a/anderju01.html
2019-20,26,BRK,NBA,SG,3,28,20.6,.690,.917,.333,0.0,31.0,14.4,18.6,0.0,3.4,12.7,23.2,,0.1,0.0,0.1,.112,,5.1,2.1,7.2,0.1,https://www.basketball-reference.com/players/a/anderju01.html
2015-16,22,SAS,NBA,SF,10,129,7.7,.410,.120,.280,1.9,18.6,10.7,7.3,2.4,1.8,12.5,11.6,,-0.1,0.2,0.1,.055,,-4.5,2.0,-2.4,0.0,https://www.basketball-reference.com/players/a/anderky01.html
2016-17,23,SAS,NBA,SF,15,195,21.6,.603,.156,.172,6.8,21.0,13.6,20.1,2.6,1.0,9.2,17.2,,0.5,0.2,0.8,.187,,3.5,3.3,6.8,0.4,https://www.basketball-reference.com/players/a/anderky01.html
2017-18,24,SAS,NBA,SF,5,73,17.5,.620,.200,.200,7.2,13.3,10.1,7.4,4.2,1.2,12.1,15.5,,0.1,0.1,0.2,.130,,-0.8,3.7,2.9,0.1,https://www.basketball-reference.com/players/a/anderky01.html
2009-10,21,ORL,NBA,PF,9,89,8.5,.391,.483,.034,11.6,31.1,21.7,5.8,1.2,1.8,14.5,19.1,,-0.1,0.2,0.1,.043,,-3.8,-0.7,-4.6,-0.1,https://www.basketball-reference.com/players/a/anderry01.html
2010-11,22,ORL,NBA,PF,6,147,8.3,.429,.667,.200,8.0,13.9,10.9,3.5,1.9,0.5,3.0,10.9,,0.1,0.2,0.4,.119,,-1.0,0.0,-1.0,0.0,https://www.basketball-reference.com/players/a/anderry01.html
2011-12,23,ORL,NBA,PF,5,172,7.1,.510,.682,.159,5.9,9.5,7.7,4.3,1.0,0.9,16.0,16.0,,0.0,0.0,0.0,.010,,-2.5,-1.5,-4.0,-0.1,https://www.basketball-reference.com/players/a/anderry01.html
2014-15,26,NOP,NBA,PF,4,95,16.2,.556,.333,.167,8.3,11.5,9.9,15.7,0.0,1.8,9.4,20.5,,0.2,-0.1,0.2,.079,,2.8,-1.4,1.4,0.1,https://www.basketball-reference.com/players/a/anderry01.html
