Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player_link
2018-19,28,POR,NBA,PF,16,16,399,4.8,13.7,.349,1.9,6.4,.294,2.9,7.3,.397,3.4,4.5,.750,3.6,8.9,12.5,2.6,1.1,1.3,2.0,4.3,14.8,,104,111,https://www.basketball-reference.com/players/a/aminual01.html
2007-08,25,PHI,NBA,PF,2,0,10,11.2,22.3,.500,0.0,0.0,,11.2,22.3,.500,5.6,11.2,.500,27.9,11.2,39.1,0.0,0.0,0.0,0.0,11.2,27.9,,135,109,https://www.basketball-reference.com/players/a/amundlo01.html
2009-10,27,PHO,NBA,PF,16,0,194,5.2,9.8,.528,0.0,0.0,,5.2,9.8,.528,2.4,5.7,.429,8.2,7.1,15.2,0.3,1.6,1.9,1.6,8.4,12.8,,118,111,https://www.basketball-reference.com/players/a/amundlo01.html
2011-12,29,IND,NBA,PF,11,0,94,7.0,13.4,.522,0.0,0.0,,7.0,13.4,.522,1.7,3.5,.500,3.5,9.9,13.4,1.2,1.2,2.9,2.3,9.3,15.7,,103,98,https://www.basketball-reference.com/players/a/amundlo01.html
2013-14,31,BRK,NBA,SF,12,2,261,5.3,13.2,.403,1.9,6.6,.290,3.4,6.6,.516,2.6,3.8,.667,2.1,4.7,6.8,3.2,2.1,0.0,2.1,6.8,15.1,,104,113,https://www.basketball-reference.com/players/a/anderal01.html
2014-15,32,BRK,NBA,SG,6,0,142,9.0,14.7,.610,3.6,5.8,.625,5.4,9.0,.600,2.2,3.2,.667,0.7,6.8,7.6,2.5,1.4,0.4,2.9,3.2,23.7,,121,108,https://www.basketball-reference.com/players/a/anderal01.html
2011-12,22,SAS,NBA,SG,8,0,31,6.7,15.1,.444,3.3,6.7,.500,3.3,8.4,.400,1.7,3.3,.500,0.0,8.4,8.4,5.0,1.7,0.0,0.0,1.7,18.4,,124,104,https://www.basketball-reference.com/players/a/anderja01.html
2012-13,23,HOU,NBA,SG,2,0,18,2.8,14.0,.200,0.0,8.4,.000,2.8,5.6,.500,0.0,0.0,,2.8,8.4,11.2,0.0,0.0,0.0,0.0,5.6,5.6,,58,115,https://www.basketball-reference.com/players/a/anderja01.html
2015-16,22,DAL,NBA,SF,5,1,95,9.4,20.4,.459,2.2,7.2,.308,7.2,13.2,.542,5.0,7.7,.643,5.0,6.1,11.0,3.9,2.2,1.7,2.8,6.6,25.9,,110,119,https://www.basketball-reference.com/players/a/anderju01.html
2017-18,24,PHI,NBA,SF,7,0,33,4.5,11.9,.375,3.0,10.4,.286,1.5,1.5,1.000,0.0,0.0,,1.5,11.9,13.4,0.0,1.5,0.0,3.0,11.9,11.9,,83,105,https://www.basketball-reference.com/players/a/anderju01.html
