Season,Age,Tm,Lg,Pos,G,MP,PG%_Position Estimate,SG%_Position Estimate,SF%_Position Estimate,PF%_Position Estimate,C%_Position Estimate,OnCourt_+/- Per 100 Poss.,On-Off_+/- Per 100 Poss.,BadPass_Turnovers,LostBall_Turnovers,Shoot_Fouls Committed,Off._Fouls Committed,Shoot_Fouls Drawn,Off._Fouls Drawn,PGA_Misc.,And1_Misc.,Blkd_Misc.,Player_link
2016-17,35,MEM,NBA,SG,71,1914,2%,77%,21%,,,+1.6,+1.7,49,30,78,6,58,7,214,12,73,https://www.basketball-reference.com/players/a/allento01.html
2017-18,36,NOP,NBA,SF,22,273,,18%,73%,9%,,+3.0,+1.3,10,2,22,4,11,3,20,1,11,https://www.basketball-reference.com/players/a/allento01.html
2007-08,26,CLE,NBA,C,3,10,,,,,100%,-91.3,-91.3,0,0,0,0,1,0,0,0,0,https://www.basketball-reference.com/players/a/allrela01.html
2007-08,22,UTA,NBA,SG,9,39,,95%,5%,,,-14.2,-21.9,1,1,1,0,2,1,7,0,2,https://www.basketball-reference.com/players/a/almonmo01.html
2008-09,23,UTA,NBA,SG,25,255,,81%,17%,2%,,-7.4,-10.9,5,5,19,3,13,0,17,4,7,https://www.basketball-reference.com/players/a/almonmo01.html
2011-12,26,WAS,NBA,SG,4,67,,92%,8%,,,+27.2,+34.0,0,0,1,1,2,0,4,1,0,https://www.basketball-reference.com/players/a/almonmo01.html
2010-11,20,LAC,NBA,SF,81,1452,,,88%,12%,,-7.3,-5.8,47,31,63,16,54,4,132,12,37,https://www.basketball-reference.com/players/a/aminual01.html
2011-12,21,NOH,NBA,SF,66,1477,,1%,88%,12%,,-0.6,+6.8,30,30,67,18,49,3,141,13,39,https://www.basketball-reference.com/players/a/aminual01.html
2012-13,22,NOH,NBA,SF,76,2066,,,94%,5%,1%,-1.2,+7.4,42,43,65,16,59,5,239,13,38,https://www.basketball-reference.com/players/a/aminual01.html
2013-14,23,NOP,NBA,SF,80,2045,,,76%,23%,,-4.4,-3.7,34,26,75,18,65,8,246,10,47,https://www.basketball-reference.com/players/a/aminual01.html
2014-15,24,DAL,NBA,SF,74,1366,,1%,79%,20%,,+6.2,+4.9,15,17,63,9,47,5,143,12,22,https://www.basketball-reference.com/players/a/aminual01.html
2015-16,25,POR,NBA,SF,82,2341,,,56%,44%,1%,+1.7,+2.2,44,44,70,16,74,15,335,17,35,https://www.basketball-reference.com/players/a/aminual01.html
2016-17,26,POR,NBA,PF,61,1773,,,,95%,5%,+1.8,+3.9,35,30,48,9,67,11,241,13,24,https://www.basketball-reference.com/players/a/aminual01.html
2017-18,27,POR,NBA,PF,69,2072,,,3%,96%,1%,+5.2,+4.9,34,21,61,8,32,8,197,5,16,https://www.basketball-reference.com/players/a/aminual01.html
2018-19,28,POR,NBA,PF,81,2292,,,,99%,1%,+8.1,+10.0,29,15,58,14,72,15,243,13,29,https://www.basketball-reference.com/players/a/aminual01.html
2019-20,29,ORL,NBA,PF,18,380,,,34%,65%,1%,-5.4,-5.0,7,3,13,4,14,3,46,1,4,https://www.basketball-reference.com/players/a/aminual01.html
2006-07,24,TOT,NBA,PF,11,89,,,7%,87%,5%,-11.4,-11.5,1,1,11,0,4,2,2,0,4,https://www.basketball-reference.com/players/a/amundlo01.html
2006-07,24,UTA,NBA,PF,1,2,,,,100%,,+13.3,+10.1,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/players/a/amundlo01.html
2006-07,24,PHI,NBA,PF,10,87,,,8%,87%,5%,-12.4,-9.3,1,1,11,0,4,2,2,0,4,https://www.basketball-reference.com/players/a/amundlo01.html
2007-08,25,PHI,NBA,PF,16,64,,,,62%,38%,-3.6,-3.8,1,1,8,0,4,1,0,1,2,https://www.basketball-reference.com/players/a/amundlo01.html
2008-09,26,PHO,NBA,PF,76,1044,,,5%,71%,24%,+2.8,+1.0,19,22,85,5,57,16,61,16,26,https://www.basketball-reference.com/players/a/amundlo01.html
