Season,Age,Tm,Lg,Pos,G,MP,PG%_Position Estimate,SG%_Position Estimate,SF%_Position Estimate,PF%_Position Estimate,C%_Position Estimate,OnCourt_+/- Per 100 Poss.,On-Off_+/- Per 100 Poss.,BadPass_Turnovers,LostBall_Turnovers,Shoot_Fouls Committed,Off._Fouls Committed,Shoot_Fouls Drawn,Off._Fouls Drawn,PGA_Misc.,And1_Misc.,Blkd_Misc.,Player_link
2013-14,28,WAS,NBA,SF,11,407,,,99%,1%,,+2.7,+7.9,11,2,8,1,8,3,42,1,4,https://www.basketball-reference.com/players/a/arizatr01.html
2014-15,29,HOU,NBA,SF,17,655,,,83%,17%,,-0.2,+8.2,10,7,19,4,15,3,102,3,6,https://www.basketball-reference.com/players/a/arizatr01.html
2015-16,30,HOU,NBA,SF,5,181,,,80%,20%,,-24.5,-19.4,5,4,2,3,2,0,10,1,1,https://www.basketball-reference.com/players/a/arizatr01.html
2016-17,31,HOU,NBA,SF,11,413,,,44%,57%,,-1.3,-13.6,6,3,12,0,6,1,57,4,9,https://www.basketball-reference.com/players/a/arizatr01.html
2017-18,32,HOU,NBA,SF,17,582,,,70%,30%,,+7.1,+17.9,3,3,14,1,11,3,58,1,5,https://www.basketball-reference.com/players/a/arizatr01.html
2007-08,23,NOH,NBA,C,8,72,,,,,100%,-12.8,-19.5,0,1,4,3,6,1,0,2,1,https://www.basketball-reference.com/players/a/armsthi01.html
2008-09,24,NOH,NBA,C,4,53,,,,,100%,-33.6,-8.7,2,2,8,2,4,0,2,0,1,https://www.basketball-reference.com/players/a/armsthi01.html
2010-11,26,ATL,NBA,C,8,35,,,,,100%,-4.6,+0.3,1,1,5,0,2,1,2,0,2,https://www.basketball-reference.com/players/a/armsthi01.html
2013-14,29,GSW,NBA,C,7,17,,,,28%,72%,-40.2,-39.1,1,2,1,1,0,0,4,0,0,https://www.basketball-reference.com/players/a/armsthi01.html
2010-11,22,MEM,NBA,PF,13,201,,,1%,96%,3%,-12.8,-17.7,2,3,18,6,8,0,14,1,5,https://www.basketball-reference.com/players/a/arthuda01.html
2012-13,24,MEM,NBA,PF,15,175,,,,99%,1%,-5.6,-8.9,2,1,10,4,4,2,15,1,2,https://www.basketball-reference.com/players/a/arthuda01.html
2010-11,24,CHI,NBA,C,15,148,,,,,100%,+3.4,-1.3,2,3,14,1,5,0,2,3,2,https://www.basketball-reference.com/players/a/asikom01.html
2011-12,25,CHI,NBA,C,6,128,,,,,100%,+0.4,+4.3,0,3,8,2,7,1,18,1,1,https://www.basketball-reference.com/players/a/asikom01.html
2012-13,26,HOU,NBA,C,6,208,,,,,100%,+3.5,+30.4,2,5,12,4,17,0,8,3,5,https://www.basketball-reference.com/players/a/asikom01.html
2013-14,27,HOU,NBA,C,6,163,,,,,100%,+6.4,+13.3,3,3,14,5,2,0,9,1,7,https://www.basketball-reference.com/players/a/asikom01.html
2014-15,28,NOP,NBA,C,4,79,,,,,100%,-23.2,-25.4,2,1,3,2,3,0,12,1,3,https://www.basketball-reference.com/players/a/asikom01.html
2009-10,22,CHA,NBA,PG,4,73,100%,,,,,+5.0,+25.1,4,0,1,0,2,0,17,1,2,https://www.basketball-reference.com/players/a/augusdj01.html
2012-13,25,IND,NBA,PG,19,316,100%,,,,,-16.6,-26.1,6,2,9,1,3,5,27,0,9,https://www.basketball-reference.com/players/a/augusdj01.html
2013-14,26,CHI,NBA,PG,5,141,100%,,,,,+4.6,+23.2,3,5,6,0,7,1,53,2,9,https://www.basketball-reference.com/players/a/augusdj01.html
2018-19,31,ORL,NBA,PG,5,141,100%,,,,,-24.2,-21.1,1,4,3,1,6,0,45,0,6,https://www.basketball-reference.com/players/a/augusdj01.html
2019-20,32,ORL,NBA,PG,5,128,100%,,,,,-8.4,-0.6,7,1,1,3,8,5,75,0,3,https://www.basketball-reference.com/players/a/augusdj01.html
2007-08,23,ORL,NBA,PF,1,2,,,,100%,,+133.3,+131.7,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/players/a/augusja01.html
2012-13,27,MIL,NBA,C,3,7,,,,,100%,+51.6,+70.9,0,0,0,0,0,0,0,0,1,https://www.basketball-reference.com/players/a/ayongu01.html
2009-10,22,POR,NBA,C,3,17,,,,,100%,+6.3,+19.6,0,1,0,0,1,0,0,0,0,https://www.basketball-reference.com/players/p/pendeje02.html
2011-12,24,IND,NBA,C,4,9,,,,,100%,-65.0,-67.7,0,0,1,0,0,0,0,0,0,https://www.basketball-reference.com/players/p/pendeje02.html
2012-13,25,IND,NBA,PF,9,71,,,24%,76%,,-8.8,-10.1,1,0,7,2,0,0,3,0,1,https://www.basketball-reference.com/players/p/pendeje02.html
2013-14,26,SAS,NBA,PF,17,65,,,66%,21%,14%,+4.9,-5.6,0,0,3,1,2,0,12,0,0,https://www.basketball-reference.com/players/p/pendeje02.html
2014-15,27,SAS,NBA,PF,3,12,,,68%,30%,2%,+17.2,+17.0,0,0,0,0,0,0,4,0,1,https://www.basketball-reference.com/players/p/pendeje02.html
2015-16,28,LAC,NBA,C,2,2,,,,74%,26%,+33.3,+33.7,0,0,0,0,1,0,0,1,0,https://www.basketball-reference.com/players/p/pendeje02.html
2006-07,23,GSW,NBA,SG,6,15,,83%,17%,,,+9.5,+8.2,0,0,1,0,1,0,0,0,0,https://www.basketball-reference.com/players/a/azubuke01.html
2011-12,28,DAL,NBA,SG,1,5,,100%,,,,+111.1,+120.0,0,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/players/a/azubuke01.html
